id,subdistrict_id,soil_type_id,fertility_top,ph_top,ph_low,year
10840606,840606,62,L,5.0-5.5,4.5-5.5,2566
10840607,840607,43,L,5.0-6.5,5.0-6.0,2566
10840608,840608,39,L,4.5-5.5,4.5-5.5,2566
10840609,840609,34,L,5.0-5.5,4.5-5.0,2566
10840701,840701,13,L,6.0-8.0,6.0-8.0,2566
10840702,840702,50,L,5.5-6.5,4.5-5.5,2566
10840703,840703,34,L,5.0-5.5,4.5-5.0,2566
10840704,840704,50,L,zSC,4.5-5.5,2566
10840705,840705,43,L,5.0-6.5,5.0-6.0,2566
10840706,840706,34,L,5.0-5.5,4.5-5.0,2566
10840801,840801,39,L,5.0-5.5,4.5-5.5,2566
10840802,840802,32,L,4.5-6.0,4.5-5.0,2566
10840803,840803,34,L,5.0-5.5,4.5-5.0,2566
10840806,840806,50,L,zSC,4.5-5.5,2566
10840807,840807,32,L,zSC,zSC,2566
10840808,840808,62,zSC,zSC,zSC,2566
10840809,840809,34,L,5.0-5.5,4.5-5.0,2566
10840810,840810,62,L,zSC,zSC,2566
10840901,840901,62,zSC,zSC,zSC,2566
10840902,840902,34,L,5.0-5.5,4.5-5.0,2566
10840903,840903,39,L,4.5-5.5,4.5-5.5,2566
10840904,840904,62,zSC,zSC,zSC,2566
10841001,841001,34,L,5.0-5.5,4.5-5.5,2566
10841002,841002,62,L,5.0-6.5,4.5-5.5,2566
10841003,841003,51,L,4.5-5.0,4.5-5.5,2566
10841004,841004,51,L,5.0-5.5,4.5-5.5,2566
10841005,841005,32,L,5.0-5.5,4.5-5.5,2566
10841006,841006,26,L,5.0-6.5,4.5-5.5,2566
10841101,841101,10,L,4.5-6.0,4.5-5.5,2566
10841102,841102,39,L,4.5-5.5,4.5-5.5,2566
10841103,841103,10,M,4.5-5.0,<4.5,2566
10841104,841104,62,L,zSC,zSC,2566
10841105,841105,60,L,5.0-5.5,4.5-5.5,2566
10841106,841106,39,L,4.5-5.5,4.5-5.5,2566
10841201,841201,34,L,5.0-5.5,4.5-5.0,2566
10841202,841202,26,M,5.0-6.5,4.5-5.5,2566
10841203,841203,51,L,5.0-5.5,4.5-5.5,2566
10841204,841204,45,L,5.0-5.5,4.5-5.5,2566
10841205,841205,32,L,4.5-6.0,4.5-5.0,2566
10841206,841206,34,L,5.0-5.5,4.5-5.0,2566
10841207,841207,34,L,4.5-5.5,4.5-5.0,2566
10841208,841208,45,L,5.0-6.0,4.5-5.5,2566
10841209,841209,34,L,4.5-6.0,4.5-5.0,2566
10841210,841210,39,L,4.5-5.5,4.5-5.0,2566
10841211,841211,26,L,5.0-6.5,4.5-5.0,2566
10841301,841301,60,M,5.0-6.5,5.5-7.0,2566
10841302,841302,6,L,5.5-6.5,4.5-5.5,2566
10841303,841303,32,L,4.5-6.0,4.5-5.5,2566
10841304,841304,17,L,5.0-6.0,4.5-5.5,2566
10841401,841401,34,L,5.0-5.5,4.5-5.0,2566
10841402,841402,34,L,5.0-5.5,4.5-5.0,2566
10841403,841403,50,L,5.0-6.5,4.5-5.5,2566
10841404,841404,34,L,5.0-5.5,4.5-5.0,2566
10841405,841405,34,L,5.0-5.5,4.5-5.0,2566
10841501,841501,34,L,5.0-5.5,4.5-5.0,2566
10841502,841502,26,L,5.0-5.5,4.5-5.5,2566
10841503,841503,34,L,5.0-5.5,4.5-5.5,2566
10841504,841504,34,L,5.0-5.5,4.5-5.0,2566
10841505,841505,34,L,5.0-5.5,4.5-5.5,2566
10841601,841601,60,L,5.0-6.5,5.5-7.0,2566
10841602,841602,34,L,5.0-5.5,4.5-5.0,2566
10841603,841603,62,L,zSC,zSC,2566
10841604,841604,60,L,5.0-6.5,5.5-7.0,2566
10841605,841605,34,L,5.0-5.5,4.5-5.0,2566
10841606,841606,34,L,5.0-5.5,4.5-5.0,2566
10841607,841607,34,L,5.0-5.5,4.5-5.0,2566
10841701,841701,32,M,4.5-6.0,4.5-6.0,2566
10841702,841702,10,M,4.5-5.0,<4.5,2566
10841704,841704,32,L,5.5-6.5,4.5-5.5,2566
10841705,841705,32,L,5.0-5.5,4.5-5.0,2566
10841706,841706,34,L,4.5-5.5,4.5-5.5,2566
10841707,841707,34,L,5.0-5.5,4.5-5.0,2566
10841708,841708,53,L,5.0-5.5,4.5-5.5,2566
10841709,841709,39,L,4.5-5.5,4.5-5.5,2566
10841710,841710,62,zSC,zSC,zSC,2566
10841711,841711,32,M,4.5-6.0,4.5-6.0,2566
10841712,841712,60,L,4.5-5.5,4.5-5.5,2566
10841713,841713,10,M,4.5-5.0,<4.5,2566
10841714,841714,32,L,4.5-6.0,4.5-5.5,2566
10841715,841715,62,L,zSC,zSC,2566
10841716,841716,34,L,5.0-5.5,4.5-5.0,2566
10841801,841801,50,L,5.0-6.5,4.5-5.5,2566
10841802,841802,50,L,5.0-6.5,4.5-5.5,2566
10841803,841803,53,L,5.0-5.5,4.5-5.5,2566
10841804,841804,34,L,5.0-5.5,4.5-5.0,2566
10841901,841901,51,L,5.0-5.5,4.5-5.5,2566
10841902,841902,51,L,4.5-5.0,4.5-5.5,2566
10850102,850102,26,M,6.0-7.0,4.5-5.5,2566
10850103,850103,26,M,6.0-7.0,4.5-5.5,2566
10850104,850104,34,L,5.0-5.5,4.5-5.5,2566
10850105,850105,999,zI,zI,zI,2566
10850106,850106,53,L,5.0-5.5,4.5-5.5,2566
10850107,850107,53,L,5.0-5.5,4.5-5.5,2566
10850108,850108,62,zSC,zSC,zSC,2566
10850109,850109,62,zSC,zSC,zSC,2566
10850201,850201,26,M,6.0-7.0,4.5-5.5,2566
10850202,850202,26,M,6.0-7.0,4.5-5.5,2566
10850203,850203,26,M,6.0-7.0,4.5-5.5,2566
10850204,850204,26,M,6.0-7.0,4.5-5.5,2566
10850205,850205,26,M,6.0-7.0,4.5-5.5,2566
10850206,850206,26,L,5.0-6.5,4.5-5.5,2566
10850207,850207,26,M,5.0-6.5,4.5-5.5,2566
10850301,850301,26,L,5.0-5.5,4.5-5.5,2566
10850302,850302,53,L,5.0-5.5,4.5-5.5,2566
10850303,850303,26,M,6.0-7.0,4.5-5.5,2566
10850304,850304,26,M,6.0-7.0,4.5-5.5,2566
10850305,850305,53,L,5.0-5.5,4.5-5.5,2566
10850401,850401,34,M,6.0-7.0,4.5-5.5,2566
10850402,850402,53,L,5.0-5.5,4.5-5.5,2566
10850403,850403,53,L,5.0-5.5,4.5-5.5,2566
10850404,850404,53,L,5.0-5.5,4.5-5.5,2566
10850405,850405,26,M,6.0-7.0,4.5-5.5,2566
10850406,850406,53,L,5.0-5.5,4.5-5.5,2566
10850407,850407,53,L,5.0-5.5,4.5-5.5,2566
10850501,850501,53,L,5.0-5.5,4.5-5.5,2566
10850502,850502,53,L,5.0-5.5,4.5-5.5,2566
10860101,860101,32,L,4.5-6.0,5.0-5.5,2566
10860102,860102,62,zSC,zSC,zSC,2566
10860103,860103,13,H,6.0-8.0,7.5-8.0,2566
10860104,860104,43,L,5.0-6.5,5.0-6.0,2566
10860105,860105,13,H,6.0-8.0,7.5-8.0,2566
10860106,860106,62,zSC,zSC,zSC,2566
10860107,860107,43,L,5.0-6.5,5.0-6.0,2566
10860108,860108,6,L,5.5-6.5,4.5-5.5,2566
10860109,860109,50,L,5.5-6.5,5.0-5.5,2566
10860110,860110,62,zSC,zSC,zSC,2566
10860111,860111,32,M,4.5-6.0,4.5-6.0,2566
10860112,860112,53,L,5.0-5.5,4.5-5.5,2566
10860113,860113,62,zSC,zSC,zSC,2566
10860114,860114,62,zSC,zSC,zSC,2566
10860115,860115,62,zSC,zSC,zSC,2566
10860116,860116,999,zI,zI,zI,2566
10860117,860117,62,zSC,zSC,zSC,2566
10860201,860201,50,L,5.5-6.5,5.0-5.5,2566
10860202,860202,51,L,4.5-5.0,4.5-5.5,2566
10860203,860203,50,L,5.5-6.5,5.0-5.5,2566
10860204,860204,43,L,5.0-6.5,5.0-6.5,2566
10860205,860205,50,L,5.5-6.5,5.0-5.5,2566
10860206,860206,50,L,5.5-6.5,5.0-5.5,2566
10860207,860207,51,L,4.5-5.0,4.5-5.5,2566
10860208,860208,62,zSC,zSC,zSC,2566
10860209,860209,50,L,5.5-6.5,5.0-5.5,2566
10860210,860210,51,L,4.5-5.0,4.5-5.5,2566
10860301,860301,51,L,4.5-5.0,4.5-5.5,2566
10860302,860302,62,zSC,zSC,zSC,2566
10860303,860303,62,zSC,zSC,zSC,2566
10860304,860304,62,zSC,zSC,zSC,2566
10860305,860305,62,zSC,zSC,zSC,2566
10860306,860306,62,zSC,zSC,zSC,2566
10860307,860307,62,zSC,zSC,zSC,2566
10860401,860401,6,L,5.5-6.5,4.5-5.5,2566
10860402,860402,6,L,5.5-6.5,4.5-5.5,2566
10860403,860403,62,zSC,zSC,zSC,2566
10860404,860404,39,L,4.5-5.5,4.5-5.5,2566
10860405,860405,62,zSC,zSC,zSC,2566
10860406,860406,62,zSC,zSC,zSC,2566
10860407,860407,62,zSC,zSC,zSC,2566
10860408,860408,62,zSC,zSC,zSC,2566
10860409,860409,43,L,4.5-6.0,5.0-6.0,2566
10860411,860411,39,L,5.0-5.5,4.5-5.0,2566
10860412,860412,62,zSC,zSC,zSC,2566
10860413,860413,50,L,5.5-6.5,5.0-5.5,2566
10860501,860501,34,L,5.0-5.5,4.5-5.0,2566
10860502,860502,62,zSC,zSC,zSC,2566
10860503,860503,39,L,4.5-5.5,4.5-5.5,2566
10860504,860504,50,L,5.5-6.5,5.0-5.5,2566
10860601,860601,53,L,5.0-5..5,4.5-5.5,2566
10860602,860602,32,L,5.0-5.5,4.5-5.0,2566
10860603,860603,53,L,5.0-5.5,4.5-5.5,2566
10860604,860604,53,L,5.0-5.5,4.5-5.5,2566
10860701,860701,62,zSC,zSC,zSC,2566
10860702,860702,50,L,5.5-6.5,5.0-5.5,2566
10860703,860703,62,zSC,zSC,zSC,2566
10860704,860704,62,zSC,zSC,zSC,2566
10860705,860705,23,L,6.0-7.0,6.0-8.0,2566
10860706,860706,62,zSC,zSC,zSC,2566
10860707,860707,62,zSC,zSC,zSC,2566
10860708,860708,62,zSC,zSC,zSC,2566
10860709,860709,51,L,4.5-5.0,4.5-5.5,2566
10860710,860710,62,zSC,zSC,zSC,2566
10860711,860711,62,zSC,zSC,zSC,2566
10860801,860801,999,zI,zI,zI,2566
10860802,860802,13,H,6.0-8.0,7.5-8.0,2566
10860803,860803,51,L,4.5-5.0,4.5-5.5,2566
10860804,860804,62,zSC,zSC,zSC,2566
10900101,900101,999,zW,zW,zW,2566
10900102,900102,43,L,4.5-6.0,5.0-6.0,2566
10900103,900103,62,zSC,zSC,zSC,2566
10900104,900104,39,L,4.5-5.5,4.5-5.5,2566
10900105,900105,62,zSC,zSC,zSC,2566
10900106,900106,62,zSC,zSC,zSC,2566
10900204,900204,53,L,5.0-5.5,4.5-5.5,2566
10900206,900206,22,L,5.0-6.0,5.5-7.0,2566
10900208,900208,999,zMARSH,zMARSH,zMARSH,2566
10900211,900211,53,L,5.0-5.5,4.5-5.5,2566
10900301,900301,39,L,4.5-5.5,4.5-5.5,2566
10900302,900302,6,L,5.5-6.5,4.5-5.5,2566
10900303,900303,39,L,4.5-5.5,4.5-5.5,2566
10900304,900304,6,L,4.5-6.0,4.5-5.5,2566
10900305,900305,62,zSC,zSC,zSC,2566
10900306,900306,39,L,4.5-5.5,4.5-5.5,2566
10900307,900307,34,L,5.0-5.5,4.5-5.0,2566
10900308,900308,6,L,5.5-6.5,4.5-5.5,2566
10900309,900309,39,L,4.5-5.5,4.5-5.5,2566
10900310,900310,62,zSC,zSC,zSC,2566
10900311,900311,39,L,4.5-5.5,4.5-5.5,2566
10900312,900312,34,L,5.0-5.5,4.5-5.0,2566
10900313,900313,39,L,4.5-5.5,4.5-5.5,2566
10900314,900314,6,L,5.5-6.5,4.5-5.5,2566
10900401,900401,50,L,5.0-6.5,4.5-5.5,2566
10900402,900402,62,zSC,zSC,zSC,2566
10900403,900403,39,L,4.5-5.5,4.5-5.5,2566
10900404,900404,62,zSC,zSC,zSC,2566
10900405,900405,34,L,5.0-5.5,4.5-5.0,2566
10900406,900406,39,L,4.5-5.5,4.5-5.5,2566
10900407,900407,50,L,5.0-6.5,4.5-5.5,2566
10900408,900408,34,L,5.0-6.5,4.5-5.5,2566
10900409,900409,34,L,5.0-5.5,4.5-5.0,2566
10900410,900410,62,zSC,zSC,zSC,2566
10900501,900501,22,L,5.5-6.5,5.5-6.5,2566
10900502,900502,43,L,4.5-6.0,5.0-6.0,2566
10900503,900503,50,L,5.0-6.5,4.5-5.5,2566
10900504,900504,39,L,4.5-5.5,4.5-5.5,2566
10900505,900505,39,L,4.5-5.5,4.5-5.5,2566
10900506,900506,50,L,5.0-6.5,4.5-5.5,2566
10900507,900507,50,L,5.0-6.5,4.5-5.5,2566
10900601,900601,39,L,4.5-5.5,4.5-5.5,2566
10900602,900602,39,L,4.5-5.5,4.5-5.5,2566
10900603,900603,50,L,5.0-6.5,4.5-5.5,2566
10900604,900604,50,L,5.0-6.5,4.5-5.5,2566
10900605,900605,39,L,4.5-5.5,4.5-5.5,2566
10900606,900606,62,zSC,zSC,zSC,2566
10900607,900607,50,L,5.0-6.5,4.5-5.5,2566
10900608,900608,50,L,5.0-6.5,4.5-5.5,2566
10900609,900609,50,L,5.0-6.5,4.5-5.5,2566
10900701,900701,53,L,5.0-5.5,4.5-5.5,2566
10900703,900703,3,M,5.5-6.5,5.5-8.0,2566
10900706,900706,53,L,5.0-5.5,4.5-5.5,2566
10900710,900710,43,L,4.5-6.0,5.0-6.0,2566
10900711,900711,10,M,4.5-5.0,<4.5,2566
10900801,900801,50,L,5.5-6.5,5.0-5.5,2566
10900802,900802,53,L,5.0-5.5,4.5-5.5,2566
10900803,900803,50,L,5.5-6.5,5.0-5.5,2566
10900804,900804,22,L,5.0-6.0,5.5-7.0,2566
10900901,900901,62,zSC,zSC,zSC,2566
10900902,900902,17,L,4.5-6.0,4.5-5.5,2566
10900903,900903,6,L,5.5-6.5,4.5-5.5,2566
10900904,900904,51,L,4.5-5.0,4.5-5.5,2566
10900909,900909,34,L,5.0-5.5,4.5-5.0,2566
10901001,901001,60,M,5.0-6.5,5.5-7.0,2566
10901002,901002,62,zSC,zSC,zSC,2566
10901003,901003,45,L,5.5-6.5,4.5-5.5,2566
10901004,901004,39,L,4.5-5.5,4.5-5.5,2566
10901005,901005,45,L,5.0-6.0,4.5-5.5,2566
10901006,901006,34,L,5.0-5.5,4.5-5.0,2566
10901007,901007,62,zSC,zSC,zSC,2566
10901008,901008,45,L,5.0-6.0,4.5-5.5,2566
10901009,901009,45,L,5.5-6.5,4.5-5.5,2566
10901101,901101,39,L,4.5-5.5,4.5-5.5,2566
10901102,901102,6,L,5.5-6.5,4.5-5.5,2566
10901103,901103,10,M,4.5-5.0,4.5-7.0,2566
10901104,901104,999,zW,zW,zW,2566
10901105,901105,6,L,5.5-6.5,4.5-5.5,2566
10901107,901107,53,L,5.0-5.5,4.5-5.5,2566
10901108,901108,34,L,5.0-5.5,4.5-5.0,2566
10901111,901111,53,L,5.0-5.5,4.5-5.5,2566
10901112,901112,45,L,5.0-6.0,4.5-5.5,2566
10901113,901113,39,L,4.5-5.5,4..5-5.5,2566
10901114,901114,34,L,5.0-6.5,4.5-5.5,2566
10901116,901116,34,L,5.0-5.5,4.5-5.0,2566
10901118,901118,53,L,5.0-5.5,4.5-5.5,2566
10901201,901201,39,L,4.5-5.5,4.5-5.5,2566
10901202,901202,34,L,5.0-5.5,4.5-5.0,2566
10901203,901203,34,L,5.0-5.5,4.5-5.0,2566
10901204,901204,34,L,5.0-5.5,4.5-5.0,2566
10901301,901301,45,L,5.0-6.0,4.5-5.5,2566
10901302,901302,10,M,4.5-5.0,4.5-7.0,2566
10901303,901303,6,L,5.5-6.5,4.5-5.5,2566
10901304,901304,34,L,5.0-5.5,4.5-5.0,2566
10901401,901401,17,L,4.5-6.0,4.5-5.5,2566
10901402,901402,34,L,5.0-5.5,4.5-5.0,2566
10901403,901403,14,L,4.5-5.0,4.5-5.0,2566
10901404,901404,6,L,5.5-6.5,4.5-5.5,2566
10901501,901501,43,L,5.0-6.5,5.0-6.0,2566
10901505,901505,999,zBEACH,zBEACH,zBEACH,2566
10901507,901507,14,L,4.5-5.0,4.5-5.0,2566
10901509,901509,62,zSC,zSC,zSC,2566
10901510,901510,53,L,5.0-5.5,4.5-5.5,2566
10901601,901601,45,L,5.0-6.0,4.5-5.5,2566
10901602,901602,16,L,4.5-6.0,4.5-5.5,2566
10901603,901603,6,L,5.5-6.5,4.5-5.5,2566
10901604,901604,45,L,5.0-6.0,4.5-5.5,2566
10910101,910101,32,L,4.5-6.0,5.0-5.5,2566
10910102,910102,13,H,6.0-8.0,7.5-8.0,2566
10910103,910103,51,L,4.5-5.0,4.5-5.5,2566
10910104,910104,32,L,4.5-6.0,5.0-5.5,2566
10910105,910105,6,L,5.5-6.5,4.5-5.5,2566
10910106,910106,999,zI,zI,zI,2566
10910107,910107,999,zI,zI,zI,2566
10910108,910108,45,L,5.0-6.0,4.5-5.5,2566
10910109,910109,45,L,5.0-6.0,4.5-5.5,2566
10910110,910110,13,H,6.0-8.0,7.5-8.0,2566
10910111,910111,51,L,4.5-5.0,4.5-5.5,2566
10910112,910112,26,M,5.0-6.5,4.5-5.5,2566
10910201,910201,51,L,4.5-5.0,4.5-5.5,2566
